Letter,Terminology
B,Bionics - A portmanteau from biology and electronics. The designing of engineering systems and technology based on studies of natural biological systems.
B,BOM - Abbreviation; Browser Object Model. The nonstandard for web browser support of methods and properties in creating a list of objects that interact with the web browser. One such example is JavaScript programming language containing commands to interact with browser window size when a web page is loaded. e.g. the method alert() is used to create a popup in the users web browser to alert a message.
B,"Buffer - Is one that provides electrical impedance transformation from one circuit to another, with the aim of preventing the signal source from being affected by whatever currents that the load may be produced with. The signal is 'buffered from' load currents."
B,Camel Case - When naming elements (the variables/methods/function/attributes) in programming code traditionally there are two (2) ways that many programmers use to define the naming convention. The terminology is named CamelCase. The older term (pre 2000's) is named PascalCase.
C,Upper CamelCase has each first letter of a combined word capitalised e.g. Camel Case = CamelCase
C,Lower CamelCase has only the first letter of the second or more combined words capitalised e.g. Camel Case = camelCase
C,Casting - The procedure of changing a data type of a defined variable/object to another data type.
C,"Class - A class is an abstract definition of some functionality. The class is the definition that the CLR uses when objects are created. Classes are also referred to as Types. Classes can also have static methods, which are functions that can be used without having to create an instance of the class."
C,CLI - Abbreviation; Command Line Interface. To denote the visual text based software interface used for interaction with a host software.
C,"Common Language Runtime (CLR) - The Common Language Runtime is the execution environment for .NET applications. The CLR provides memory management, exception handling, thread management, and security infrastructure. The CLR is the engine that runs .NET applications."
C,"Common mode rejection ratio (CMRR) - Tells us what happens if we have two large but equal (common) signals coming to V+ and V-. Obviously we will expect 0, which makes CMRR to be infinite. In reality it is 80-100dB, which means some fraction of common mode signal comes through to the output (especially important if it is 50 Hz mains!)."
C,Compiled Language - The programming language when run in its host shell is processed by the underlying operating systems hardware and run consuming the hardware's processing power.
C,"Cookies - Cookies are data, stored in text files, that are saved on the computer/device that access a web page with cookies enabled. When a web server sends a web page to a browser the connection is not persistent and shuts down causing the server to forget all information about the users browsing sessions. When a user visits a web page, their name can be stored in a cookie file saved on the computer. The next time the user visits the page, the web server checks the cookie saved on the users device and can remember/derive the users name. Cookies are saved in name-value pairs like: username = John Doe"
C,"CSS3 - A style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript. CSS is designed to enable the separation of presentation and content, including layout, colours, and fonts."
C,"Data Binding - A Data Binding is the actual line that connects a data source to a data sink. For example, in a typical application, there may be a text box in which the user can enter a string."
D,"Data Science - A multidisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from structured and unstructured data. Data science is related to data mining, machine learning and big data."
D,"Database - A collection of information that is organized and it's always easy to access. Databases are used to store and organize a wide range of data, such as GPS data and user content."
D,Debugging - The method of identifying and eliminating errors from computer software.
D,"Decompile - In computer programming, decompile is the process of turning a program into source code from object code."
D,"Default - In computer software, the term default refers to a pre-selected option."
D,Delegating - The practice of granting another person the authority to carry out certain duties.
D,"Design Pattern - The term design pattern is often used in the context of software design and describes a general, reusable solution to a commonly occurring problem within a given context in software design."
D,Development - A computer programmer's term for creating software from conception to completion.
D,"ECMAScript - The ""ECMA-262"" (also known as ""ES"") is the 262nd ECMAScript is a programming language that was designed to standardize JavaScript."
E,"Element - The term ""element"" refers to an HTML element and XML tag."
E,Encapsulation - A method of combining the portions of a program that operate on the program data with the portions of the program that operate on the data.
E,Encapsulating - A type of implementation.
E,"Environment - The surroundings or conditions in which a person, animal, or plant lives or operates. When a PowerShell programming languages command is used in the PowerShell ISE shell, the command is run real-time against the target operating system. e.g. If you wanted to know how many files are in your desktop, the command you run on your shell session."
E,"Event - Events are notices that an object can expose, allowing others to run code in response to a change of state of some sort."
E,"Exception - Exceptions are the error handling mechanism in the CLR. Exceptions are strongly typed, so you can handle expected errors in your code differently depending on the problem."
E,"Freeware - Software that is available for use at no monetary cost. In other words, while freeware may be used without payment it is most often proprietary software, and usually modification, re-distribution or reverse-engineering without the author's permission is prohibited. every Freeware publisher defines their own rules for their Freeware."
F,GBP (gain–bandwidth product) - The gain–bandwidth product for an amplifier is the product of the amplifier's bandwidth and the gain at which the bandwidth is measured.
G,"Git - a version control system for tracking changes in computer files and coordinating work on those files among multiple people. It is primarily used for source code management in software development, but it can be used to keep track of changes in any set of files. As a distributed revision control system, it is aimed at speed, data integrity, and support for distributed, non-linear workflows."
G,GPL - abbreviation; General Public License See GNU License.
G,GNU - abbreviation; GNU's Not Unix!. an free operating system similar to UNIX in design but containing no UNIX code and being a free consumer software.
G,"GNU License - abbreviation Similar (GNU GPL or GPL) an abbreviation of General Public License is an widely used free software license, which guarantees end users the freedom to run, study, share and modify the software. In 2007, the third version of the license (GNU GPLv3) was released to address some perceived problems with the second version (GNU GPLv2) that were discovered during its long-time usage. To keep the license up to date, the GPL license includes an optional ""any later version"" clause, allowing users to choose between the original terms or the terms in new versions as updated by the FSF. Developers can omit it when licensing their software; for instance the Linux kernel is licensed under GPLv2 without the ""any later version"" clause."
G,GUI - acronym; Graphical User Interface. used to denote the visual components of a software interface used for interaction.
G,High-level programming language - a programming language with strong abstraction from the details of the computer.
H,Host Application - The operating system device. In terms of Host Shell this references the target device that the shell interface is running on.
H,"HTML5 - a markup language used for structuring and presenting content on the World Wide Web. It is the fifth and current major version of the HTML standard. It was published in October 2014 by the World Wide Web Consortium (W3C) to improve the language with support for the latest multimedia, while keeping it both easily readable by humans and consistently understood by computers and devices such as web browsers, parsers, etc. HTML5 is intended to subsume not only HTML 4, but also XHTML 1 and DOM Level 2 HTML."
H,Inheritance - In Object Orientated Programming Inheritance is the notion of nested classes within another class inheriting permissions and functionality of the nested parent class. Usage lies in a programming class defined as B is nested inside class A. Both Class A and B can share the same attributes/methods as defined within the model structure.
I,"Input impedance - The stuff which resist the current flow between - and+, we do not want this otherwise the voltage divider forms (serial to source), essentially we are measuring the voltage across input impedance of the OpAmp, and if it is small, as shown on the diagram, we lose large portion of the total voltage supplied."
I,Instantiation − The creation of an instance of a class. Usage when objectifying a class to interact with to manipulate. An Example would be the Microsoft voice class of Cortana software that speaks to user to offer assistance can be objectified and captured into a variable to manipulate into creating own custom voices for programming.
I,"Integrated - ""With various parts or aspects linked or coordinated."" That is to say the PowerShell programming language can be directly typed and run in this software and it will work."
I,"Interpreted language - A type of programming language for which most of its implementations execute instructions directly and freely, without previously compiling a program into machine-language instructions. The interpreter executes the program directly, translating each statement into a sequence of one or more subroutines, and then into another language (often machine code)."
I,"JavaScript - Abbreviated as JS, is a high-level, interpreted programming language. It is a language which is also characterized as dynamic, weakly typed, prototype-based and multi-paradigm. Alongside HTML and CSS, JavaScript is one of the three core technologies of the World Wide Web. JavaScript enables interactive web pages and thus is an essential part of web applications. The vast majority of websites use it, and all major web browsers have a dedicated JavaScript engine to execute it."
J,"JSON - a acronym; JavaScript Object Notation is an open-standard file format that uses human-readable text to transmit data objects consisting of attribute–value pairs and array data types (or any other serializable value). It is a very common data format used for asynchronous browser–server communication, including as a replacement for XML in some AJAX-style systems."
J,No terms found.
K,"Logic gates - Logic gates are the basic building blocks of any digital system. It is an electronic circuit having one or more than one input and only one output. The relationship between the input and the output is based on a certain logic. Based on this, logic gates are named as AND gate, OR gate, NOT gate etc."
L,"Machine Learning - Related to computational statistics and a subset of artificial intelligences, Machine learning (ML) is the scientific study of statistical models and algorithms used by computer systems to perform specific tasks without explicit instructions relying on patterns and inference instead. ML algorithms build a mathematical model based on sample data known as ""training data"" in order to make predictions or decisions without being explicitly programmed to perform the task."
M,Magnetic resonance imaging (MRI) - Is a type of scan that uses strong magnetic fields and radio waves to produce detailed images of the inside of the body.
M,"Matrix - A matrix (plural: matrices) is a rectangular array[1] of numbers, symbols, or expressions, arranged in rows and columns. In computer science this refers to any two (2) dimensional array data type. An Tuple or Vector achieve the same programming definition."
M,Markup Language - A markup language is a system for annotating a document in a way that is syntactically distinguishable from the text. A language that annotates text so that the computer can manipulate that text.
M,"The codes enclosed in angle-brackets are markup instructions (known as tags), while the text between these instructions is the actual text of the document. The codes h1, p, and em are examples of semantic markup, in that they describe the intended purpose or meaning of the text they include. Specifically, h1 means ""this is a first-level heading"", p means ""this is a paragraph"", and em means ""this is an emphasized word or phrase"". A program interpreting such structural markup may apply its own rules or styles for presenting the various pieces of text, using different typefaces, boldness, font size, indentation, colour, or other styles, as desired."
M,"Method – Methods are actions that the object (or type in the case of static methods) can perform. Methods can have a return type and can require different sets of parameters, allowing you different ways to call them."
M,"MySQL - An open-source relational database management system(RDBMS). Its name is a combination of ""My"", the name of co-founder Michael Widenius's daughter, and ""SQL"", the abbreviation for Structured Query Language. The MySQL development project has made its source code available under the terms of the GNU General Public License, as well as under a variety of proprietary agreements. MySQL was owned and sponsored by a single for-profit firm, the Swedish company MySQL AB, now owned by Oracle Corporation For proprietary use, several paid editions are available, and offer additional functionality."
M,"Namespace – A Namespace allows CLR functions to be organized and distinguished. Using a Namespace helps prevent naming conflicts without having to have extra-long names. For example, the class System.Net.NetworkInformation.Ping is in the System.Net.NetworkInformation namespace."
N,".NET Framework – The .NET Framework is a software framework by Microsoft. It includes a large library and provides language interoperability (each language can use code written in other languages) across several programming languages. Programs written for the .NET Framework execute in a software environment (in contrast to a hardware environment) known as the Common Language Runtime (CLR), an application virtual machine that provides services such as security, memory management, and exception handling. The class library and the CLR together compose the .NET Framework."
N,"The .NET Framework is not a new thing. Microsoft started development on the .NET Framework in the late 1990s, originally under the name of Next Generation Windows Services (NGWS). By late 2000, the first beta versions of .NET 1.0 were released, and development continued until the final version was released on February 13, 2002."
N,"Network Administrator - A Network Administrator is an IT expert who manages an organization's network. The administrator maintains network uptime, ensures data security, and manages local area networks, wide area networks, and virtual private networks. The administrator also ensures the network functions at optimal efficiency and resolves any network issues that arise. In larger organizations, a network administrator may oversee a team of technicians and manage network projects and tasks. The network administrator must keep current on IT security issues, as they are responsible for the network's security. A bachelor's degree in computer science or information technology is typically required for the role. Certifications such as the Cisco Certified Network Associate (CCNA) or CompTIA Network+ can also be helpful."
N,"Object-oriented programming (OOP) – Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects"", which can contain data and code: data in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods)."
O,"Operating system – An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. The operating system is a vital component of the system software in a computer system. Application programs require an operating system to function."
O,"OpenGL (Open Graphics Library) - a cross-language, cross-platform API for rendering 2D and 3D vector graphics. The API is typically used to interact with a graphics processing unit (GPU), to achieve hardware-accelerated rendering."
O,"Open-source – Open-source software (OSS) is a type of computer software in which source code is released under a license in which the copyright holder grants users the rights to study, change, and distribute the software to anyone and for any purpose. Open-source software may be developed in a collaborative public manner."
O,"Operating System – The operating system (OS) is the computer's application or programs, comprising a software and hardware compatibility. This manages computer-based resources such as files, memory or programs."
O,"Optimize - To be ""Optimize"" is to obtain best performance, to speed up or reduce the output, but by the best possible response the computer system and eliminate unnecessary traffic."
O,"Overhead - In terms of the expense (s) incurred in the process or operations of a system, these are the unnecessary tasks that provide a zero output or are not required."
O,"Parasitics - In electrical networks, a parasitic element is a circuit element that is possessed by an electrical component but which it is not desirable for it to have for its intended purpose. For instance, a resistor is designed to possess resistance, but will also possess unwanted parasitic capacitance."
P,Pascal Case - alternatively known; Pascal Casing See CamelCase.
P,"PHP - abbreviation; PHP: Hypertext Preprocessor a server-side scripting language designed for Web development, but also used as a general-purpose programming language. It was originally created by Rasmus Lerdorf in 1994, the PHP reference implementation is now produced by The PHP Group. PHP originally stood for Personal Home Page, but it now stands for the recursive acronym PHP: Hypertext Preprocessor."
P,"PHP code may be embedded into HTML code, or it can be used in combination with various web template systems, web content management systems, and web frameworks. PHP code is usually processed by a PHP interpreter implemented as a module in the web server or as a Common Gateway Interface (CGI) executable. The web server combines the results of the interpreted and executed PHP code, which may be any type of data, including images, with the generated web page. PHP code may also be executed with a command-line interface (CLI) and can be used to implement standalone graphical applications."
P,Polymorphism - The provision of a single interface to entities of different types. In example a float (Decimal Numerical type) and int (Whole value numerical Integer type) are both numerical values that can be used in numerical procedures yet have different unique types.
P,"PowerShell - A task automation and configuration management framework from Microsoft, consisting of a command-line shell and associated scripting language. Initially a Windows component only, known as Windows PowerShell, it was made open-source and cross-platform on 18 August 2016 with the introduction of PowerShell Core. The former is built on .NET Framework while the latter on .NET Core. In PowerShell, administrative tasks are generally performed by cmdlets (pronounced command-lets), which are specialized .NET classes implementing a particular operation. These work by accessing data in different data stores, like the file system or registry, which are made available to PowerShell via providers. Third-party developers can develop their own cmdlets and add them to PowerShell. Sets of cmdlets may be combined into scripts."
P,Powered orthotics - see Exoskeletons.
P,"Property – A property is data that is associated with an object or class. Properties themselves are objects. In our example, the System.Net.Webclient object referred to by $webclient has a property Credentials, which is an object of the type System.Net.NetworkCredentials."
P,"Python - An interpreted high-level programming language for general-purpose programming. Created by Guido van Rossum and first released in 1991, Python has a design philosophy that emphasizes code readability, notably using significant whitespace. It provides constructs that enable clear programming on both small and large scales. Python features a dynamic type system and automatic memory management. It supports multiple programming paradigms, including object-oriented, imperative, functional and procedural, and has a large and comprehensive standard library."
P,No terms found.
Q,"Regex - abbreviation; Regular Expression. a sequence of characters that define a search pattern. The specific, standard textual syntax for representing patterns for matching text."
R,REST - acronym; Representational State Transfer. an framework that defines a set of constrains for usage in creating web services. Web services that conform to REST architecture are known as RESTful web services and provide the interoperability between computing devices on the Internet. REST API's refer to the intractable components of a software web service using the REST standard.
R,"SAAS - A cloud computing terminology otherwise referred to as ""on-demand software"" is a software licensing and delivery model from which A software service is licensed on a subscription basis and is centrally hosted, either on-cloud (Internet) or on-premise (server)."
S,Sampling rate - or sampling frequency defines the number of samples per second (or per other unit) taken from a continuous signal to make a discrete or digital signal
S,"Schmitt Trigger - Schmitt trigger devices convert the incoming signal to on/off pulses. Typically used in signal conditioning applications to remove noise from signals used in digital circuits, particularly mechanical contact bounce in switches."
S,"Scripting - ""A scripting or script language is a programming language that supports scripts: programs written for a special run-time environment that automate the execution of tasks"" This means that the top pane (The white pane) that differentiates visually from the standard PowerShell session, has a text field area like Microsoft Word or notepad, that code can be typed into in however formatting is required before running the operating systems. The User interface software can be either a CLI (command line interface) text input or GUI (graphical user interface) a point and click WYSIWYG shell."
S,Silicon conformal coating - Is a clear and flexible coating that is ideal for protecting electronic circuits.
S,Sine wave - A S curve as a graph representing periodic oscillations of constant amplitude as given by a sine function.
S,Ship of Theseus - The Ship of Theseus is a hypothetical situation in which an object that has had all of its components replaced remains fundamentally the same object.
S,Transistor - Is a semiconductor device used to amplify or switch electronic signals and electrical power. It is composed of semiconductor material usually with at least three terminals for connection to an external circuit.
T,Type Accelerators -The shorthand alias name of common .NET Framework classes used for object data type definition.
T,"Unicode - a computing industry standard for the consistent encoding, representation, and handling of text expressed in most of the world's writing systems. The standard is maintained by the Unicode Consortium, and as of June 2018 the most recent version, Unicode 11.0, contains a repertoire of 137,439 characters covering 146 modern and historic scripts, as well as multiple symbol sets and emoji. The character repertoire of the Unicode Standard is synchronized with ISO/IEC 10646, and both are code-for-code identical. Unicode can be implemented by different character encodings. The Unicode standard defines UTF-8, UTF-16, and UTF-32, and several other encodings are in use. The most commonly used encodings are UTF-8, UTF-16 and UCS-2, a precursor of UTF-16."
U,"UTF-8 - a variable width character encoding capable of encoding all 1,112,064 valid code points in Unicode using one to four 8-bit bytes. The encoding is defined by the Unicode standard, and was originally designed by Ken Thompson and Rob Pike. The name is derived from Unicode (or Universal Coded Character Set) Transformation Format – 8-bit. t was designed for backward compatibility with ASCII. UTF-8 has been the dominant character encoding for the World Wide Web since 2009, as it is most popular in every country, and as of July 2018 accounts for 91.8% of all web pages."
U,No terms found.
V,WYSIWYG – acronym; What you see is what you get. The visual component of an application that the user can interface with from what is was developed for.
W,XML - abbreviation; Extensible Mark-up Language. a mark-up that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable. The W3C's XML 1.0 Specification and several other related specifications[3]—all of them free open standards—define XML.
X,No terms found.
Y,No terms found.
Z,No terms found.
